,fullname,position,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,median,owner,owner.1,owner.2,owner.3,owner.4,owner.5,owner.6,owner.7,owner.8,owner.9,owner.10,owner.11,owner.12
1,Dallas Defense,DST,6,7,5,7,NA,5,6,0,1,7,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,New York Giants Defense,DST,4,7,1,6,6,2,3,3,1,8,NA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lawrence Tynes,PK,6,9,11,6,9,6,13,9,12,10,NA,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Tony Romo,QB,16,16,17,15,NA,17,15,15,11,15,15,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Eli Manning,QB,17,18,18,17,19,17,24,15,17,16,NA,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Miles Austin,WR,15,15,13,13,NA,12,8,10,7,14,8,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ahmad Bradshaw,RB,12,15,NA,3,15,15,14,15,12,14,NA,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Martellus Bennett,TE,1,4,10,6,12,4,4,4,2,2,NA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bear Pascoe,TE,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,John Phillips,TE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dez Bryant,WR,16,15,13,11,NA,14,14,12,11,5,13,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Victor Cruz,WR,15,16,18,15,16,15,16,13,13,16,NA,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DeMarco Murray,RB,17,16,17,9,NA,NA,NA,NA,NA,NA,NA,NA,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Dan Bailey,PK,6,3,9,8,NA,3,8,5,7,5,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Chicago Defense,DST,4,1,7,5,9,NA,9,15,10,6,10,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Indianapolis Defense,DST,4,4,9,NA,2,8,3,2,4,5,-4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Adam Vinatieri,PK,5,8,8,NA,13,8,9,12,5,11,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Reggie Wayne,WR,12,15,13,NA,14,15,13,15,19,16,18,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
